ID,TP,FP,TN,FN
1,63,11,38,8
2,73,45,170,49
3,12,0,14,2
4,47,2,19,15
5,21,2,13,13
6,29,2,38,7
7,28,9,27,3
8,42,6,26,9
9,16,8,23,4
10,56,9,10,18
11,39,9,20,8
12,20,3,9,4
13,58,4,14,2
14,31,0,11,24
15,34,5,17,7
16,17,5,58,24
17,77,23,32,19
18,53,5,37,19
19,31,9,35,1
20,22,1,24,3
21,76,11,45,36
22,17,2,17,13
23,65,9,16,13
24,82,92,116,37
25,19,5,6,3
26,17,10,29,8
27,49,6,14,26
28,168,33,56,79
29,19,2,21,8
30,55,2,8,20
31,34,20,68,11
