ID,TP,FP,TN,FN
1,186,88,283,54
2,101,13,57,14
3,64,5,37,9
4,481,40,239,199
5,86,23,102,36
6,30,70,119,7
7,52,12,32,8
8,81,8,33,20
9,84,32,51,22
10,30,2,28,0
11,61,39,116,5
