ID,TP,FP,TN,FN
1,28,1,27,2
2,16,15,151,5
3,19,0,38,1
4,18,1,37,2
5,9,11,19,1
6,10,30,134,2
7,30,1,41,2
8,8,4,24,9
9,28,1,25,2
