ID,TP,FP,TN,FN
1,1,92,2,5
2,51,11,0,13
3,31,4,25,0
4,66,31,3,0
5,28,8,4,0
6,28,36,27,6
7,10,40,6,6
8,50,183,7,2
9,95,583,28,0
10,6,24,9,0
11,21,233,12,29
12,20,787,23,0
13,7,1186,30,10
14,9,202,0,4
15,8,155,9,0
16,9,87,4,0
17,8,268,9,0
18,26,30,0,0
19,4,27,2,0
