ID,TP,FP,TN,FN
1,90,63,102,38
2,31,11,63,4
3,40,16,54,9
4,13,6,23,4
5,107,37,137,29
6,31,12,69,17
7,93,46,198,22
8,73,20,185,20
9,45,14,35,4
10,72,21,49,16
11,24,0,24,1
12,3,0,15,11
13,139,137,279,68
14,159,135,194,45
15,10,2,10,1
16,24,0,25,1
17,5,1,16,12
18,35,13,97,2
19,22,12,24,2
20,3,185,392,0
21,35,85,285,12
