ID,TP,FP,TN,FN
1,21,32,85,2
2,181,189,379,110
3,35,16,34,15
4,21,35,64,3
5,18,2,12,1
6,15,10,30,5
7,10,6,14,1
8,26,57,66,8
9,16,10,31,1
