ID,TP,FP,TN,FN
1,5,1,76,52
2,18,21,41,4
3,52,7,33,24
4,43,0,60,17
5,27,0,40,13
6,76,0,44,2
7,28,28,24,13
8,57,11,39,17
9,43,6,24,15
10,42,30,22,10
11,75,2,28,15
12,26,13,49,5
13,38,16,59,14
14,32,14,28,20
