ID,TP,FP,TN,FN
1,2,0,9,16
2,11,12,24,15
3,39,29,237,53
4,93,72,748,21
5,30,3,27,0
6,73,32,78,11
7,64,5,67,9
8,72,15,67,21
9,181,79,292,59
10,4,0,18,12
11,38,190,106,10
12,39,12,65,5
