ID,TP,FP,TN,FN
1,92,0,40,31
2,30,15,28,0
3,20,31,63,9
4,16,24,45,2
5,11,22,108,8
6,11,1,25,3
7,38,5,17,12
8,38,8,123,7
9,43,41,107,14
10,7,21,95,0
11,35,3,12,1
12,51,60,58,14
13,15,6,109,4
14,34,11,16,7
15,26,39,77,20
16,16,65,66,3
