ID,TP,FP,TN,FN
1,22,6,15,9
2,25,50,54,8
3,112,0,40,0
4,28,2,18,2
5,40,0,20,0
6,27,14,15,3
7,34,1,9,1
8,28,7,24,3
9,29,4,26,1
10,20,5,30,11
