ID,TP,FP,FN,TN
1,3,10,1,61
2,0,2,2,194
3,1,12,0,17
4,0,9,1,81
5,0,0,0,113
6,6,5,2,32
7,2,4,0,74
8,1,2,0,37
9,10,7,5,58
10,16,7,0,37
11,0,13,1,124
12,2,8,0,10
13,2,1,0,26
