ID,TP,FP,TN,FN
1,20,2,38,1
2,33,5,171,9
3,15,10,170,0
4,50,7,183,2
5,3,5,66,3
6,3,3,73,4
7,6,9,24,0
8,24,3,520,1
9,51,0,32,2
10,7,30,1186,10
11,4,2,27,0
12,9,0,202,4
13,8,7,125,6
14,21,12,233,29
15,3,4,26,1
16,4,6,36,2
17,8,9,155,0
18,10,13,44,3
19,8,9,268,0
20,23,0,32,6
21,20,23,787,0
22,34,16,550,0
23,9,4,87,0
