ID,TP,FP,TN,FN
1,71,135,97,5
2,140,2577,5195,40
3,69,196,956,13
4,55,261,661,8
5,49,219,129,5
6,117,426,947,27
7,156,181,180,32
8,71,35,20,3
9,75,88,306,37
10,191,469,715,105
11,22,19,40,1
12,38,105,550,10
13,81,201,1926,7
14,99,47,108,6
15,31,27,86,10
16,285,496,1277,100
17,48,137,301,19
18,75,349,873,23
