ID,TP,FP,FN,TN
1,26,3,15,27
2,84,0,18,66
3,11,2,2,16
4,30,5,5,11
5,30,0,2,38
6,38,6,2,24
7,38,2,2,15
8,40,8,2,45
9,21,2,1,18
10,30,1,1,20
11,45,2,1,32
12,16,5,0,20
