ID,TP,FP,FN,TN
1,5,1,52,76
2,57,11,17,39
3,42,30,10,22
4,28,28,13,24
5,26,5,4,25
6,126,51,26,224
7,376,47,361,141
8,42,19,6,78
9,75,2,15,28
10,28,15,7,20
11,76,0,2,44
12,38,16,14,59
