ID,TP,FP,TN,FN
1,8,5,38,16
2,25,5,21,13
3,91,4,59,5
4,37,7,29,1
5,84,10,20,13
6,42,12,34,48
7,46,5,41,26
8,47,9,40,63
9,19,19,31,31
10,72,15,5,1
11,51,17,82,27
12,19,7,7,19
13,28,5,14,23
14,7,4,25,2
15,34,79,208,21
16,119,29,60,84
17,29,26,18,3
18,85,59,149,34
19,60,4,15,14
20,17,8,23,3
21,40,5,13,20
22,19,5,6,3
