ID,TP,FP,TN,FN
1,2,0,9,16
2,39,29,237,53
3,93,72,748,21
4,64,5,67,9
5,181,79,292,59
6,4,0,18,12
7,38,190,106,10
8,39,12,65,5
9,463,1062,1705,189
10,14,7,43,4
