ID,TP,FP,TN,FN
1,29,1,19,1
2,38,1,42,3
3,39,11,39,11
4,27,0,16,22
5,64,1,51,12
6,58,2,41,4
7,27,33,149,4
8,167,8,42,65
9,28,3,39,7
10,25,4,17,6
11,17,6,88,12
12,25,3,26,1
13,36,20,91,8
14,45,6,20,21
15,37,15,42,11
16,22,0,27,19
17,12,8,32,8
18,12,6,14,0
19,9,2,24,2
20,29,8,20,1
21,59,28,23,7
22,30,1,19,1
23,31,2,44,4
24,20,13,21,5
25,13,9,25,5
26,24,0,32,8
27,11,2,38,6
28,23,1,49,2
29,6,6,13,2
30,30,1,41,2
31,43,12,49,6
32,28,29,82,12
33,26,32,79,14
