ID,TP,FP,TN,FN
1,81,8,33,20
2,101,13,57,14
3,481,40,239,199
4,84,32,51,22
5,30,2,98,0
6,73,6,9,8
7,55,40,20,5
8,30,70,119,7
9,40,9,30,3
10,64,8,37,9
11,20,3,8,6
12,26,14,61,11
13,52,12,32,8
14,34,3,4,6
15,285,16,81,74
16,92,2,7,22
17,90,20,24,10
18,47,25,105,23
