ID,TP,FP,TN,FN
1,97,16,53,10
2,64,8,37,9
3,52,12,32,8
4,71,4,39,1
5,46,15,98,17
6,481,40,239,199
7,84,32,51,22
8,30,2,98,0
9,104,14,49,25
10,103,12,51,26
