ID,TP,FP,TN,FN
1,81,8,33,20
2,101,13,57,14
3,481,40,239,199
4,84,32,51,22
5,30,2,98,0
6,67,24,78,7
7,20,3,8,6
8,40,9,30,3
9,64,8,37,9
10,26,14,61,11
11,58,17,30,23
12,285,82,407,74
